,country_name,recognition_year,noc_webpage,noc_image
0,Afghanistan,1936,https://olympics.com/ioc/afghanistan,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/x8h3va2rlkgiruntoe0o
1,Albania,1959,https://olympics.com/ioc/albania,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/biagbhltybry4bgbmtm5
2,Cabo Verde,1993,https://olympics.com/ioc/cabo-verde,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/jkniq47thpu6plvnctfn
3,Cambodia,1995,https://olympics.com/ioc/cambodia,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/ju7ezumfxxflqyak6yzw
4,Cameroon,1963,https://olympics.com/ioc/cameroon,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/daufe30sdotxj0bjidsq
5,Canada,1907,https://olympics.com/ioc/canada,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/v9k7uza40vse6tskzrdo
6,Cayman Islands,1976,https://olympics.com/ioc/cayman-islands,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/dko7ucgaqthrsbndiqu1
7,Central African Republic,1965,https://olympics.com/ioc/central-african-republic,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/s3lncauej6h0uhqhq13r
8,Chad,1964,https://olympics.com/ioc/chad,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/lppntjjwkhgau5vnec6b
9,Chile,1934,https://olympics.com/ioc/chile,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/ybdzgpqzndn7c9y4nsuh
10,Taiwan,1960,https://olympics.com/ioc/chinese-taipei,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/bywasymkbeuy7ft1kdim
11,Colombia,1948,https://olympics.com/ioc/colombia,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/jynk6eba9n4v4rovqurj
12,Comoros,1993,https://olympics.com/ioc/comoros,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/pioacubxokjcwyrdidmy
13,Cook Islands,1986,https://olympics.com/ioc/cook-islands,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/magbw6eo9c057sie0oev
14,Côte d'Ivoire,1963,https://olympics.com/ioc/cote-d-ivoire,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/fbbjuys4b1at0bpg9m4c
15,Croatia,1993,https://olympics.com/ioc/croatia,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/wndg0yjfya3maerww3xl
16,Cuba,1955,https://olympics.com/ioc/cuba,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/sm4vxxqqfjx5pxotitzr
17,Cyprus,1978,https://olympics.com/ioc/cyprus,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/kmcyan7n0r9gd5wqx3a3
18,Czechia,1993,https://olympics.com/ioc/czechia,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/z6zahcbpkivcck1qqdmr
19,Democratic People's Republic of Korea,1957,https://olympics.com/ioc/democratic-people-s-republic-of-korea,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/h1pd9ub9qzb6bovi2mmk
20,Democratic Republic of the Congo,1968,https://olympics.com/ioc/democratic-republic-of-the-congo,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/npac7o2bpjiwq0dqdzgx
21,Denmark,1905,https://olympics.com/ioc/denmark,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/r9ruvolyaryvztumu8s2
22,Djibouti,1984,https://olympics.com/ioc/djibouti,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/janmmku2swdy0bxgrtcc
23,Dominica,1993,https://olympics.com/ioc/dominica,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/pcbwfaivi0nztoqager7
24,Dominican Republic,1954,https://olympics.com/ioc/dominican-republic,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/ctd3s6xozwrtuocgoh96
25,Ecuador,1959,https://olympics.com/ioc/ecuador,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/krtlfb0np5cqgysckheq
26,Egypt,1910,https://olympics.com/ioc/egypt,https://img.olympics.com/images/image/private/t_fit_130x72/f_auto/primary/aifesyyjzi7wktq4et0e
